Mfg_Part_Num,decision,confidence,reasons
DV2000WE,REVIEW,0.24,"Classpath for Dryers is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for SPEED QUEEN is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (page loaded but looks like client-rendered chrome with no product content (MPN not found)); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
DC5004WE,REVIEW,0.24,"Classpath for Dryers is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for SPEED QUEEN is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (page loaded but looks like client-rendered chrome with no product content (MPN not found)); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
DC5004BE,REVIEW,0.24,"Classpath for Dryers is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for SPEED QUEEN is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (page loaded but looks like client-rendered chrome with no product content (MPN not found)); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
WKE100HWA,REVIEW,0.24,"Classpath for Laundry Centers is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for LG is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (HTTP 403); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
FF7011WN,REVIEW,0.24,"Classpath for Washers is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for SPEED QUEEN is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (page loaded but looks like client-rendered chrome with no product content (MPN not found)); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
PTD70GBPTDG,REVIEW,0.24,"Classpath for Dryers is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for GE is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (HTTP 403); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
PTD70GBSTWS,REVIEW,0.24,"Classpath for Dryers is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for GE is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (HTTP 403); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
DR5004WG,REVIEW,0.24,"Classpath for Dryers is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for SPEED QUEEN is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (page loaded but looks like client-rendered chrome with no product content (MPN not found)); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
DR7004BG,REVIEW,0.24,"Classpath for Dryers is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for SPEED QUEEN is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (page loaded but looks like client-rendered chrome with no product content (MPN not found)); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
DR7004WG,REVIEW,0.24,"Classpath for Dryers is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for SPEED QUEEN is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (page loaded but looks like client-rendered chrome with no product content (MPN not found)); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
DV2000WG,REVIEW,0.24,"Classpath for Dryers is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for SPEED QUEEN is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (page loaded but looks like client-rendered chrome with no product content (MPN not found)); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
DC5004WG,REVIEW,0.24,"Classpath for Dryers is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for SPEED QUEEN is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (page loaded but looks like client-rendered chrome with no product content (MPN not found)); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
DC5004BG,REVIEW,0.24,"Classpath for Dryers is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for SPEED QUEEN is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (page loaded but looks like client-rendered chrome with no product content (MPN not found)); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
PTW705BSTWS,REVIEW,0.24,"Classpath for Washers is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for GE is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (HTTP 403); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
MVWP586GW,REVIEW,0.704,"Classpath for Washers is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand resolved via live search on the model number (no token in Part_Desc): found Maytag® at https://www.maytag.com/washers-and-dryers/washers/top-load-washers/p.commercial-grade-residential-agitator-washer-3.5-cu.-ft.mvwp586gw.html | brand style/manufacturer for MAYTAG is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | Series sourced from https://learnwhirlpool.com/smartsearchresults?searchtext=MVWP586GW (quote verified byte-for-byte) | Model sourced from https://learnwhirlpool.com/smartsearchresults?searchtext=MVWP586GW (quote verified byte-for-byte) | Capacity sourced from https://learnwhirlpool.com/smartsearchresults?searchtext=MVWP586GW (quote verified byte-for-byte) | Load Type sourced from https://learnwhirlpool.com/smartsearchresults?searchtext=MVWP586GW (quote verified byte-for-byte) | Size sourced from https://learnwhirlpool.com/smartsearchresults?searchtext=MVWP586GW (quote verified byte-for-byte) | Color sourced from https://learnwhirlpool.com/smartsearchresults?searchtext=MVWP586GW (quote verified byte-for-byte)"
TV2000WN,REVIEW,0.24,"Classpath for Washers is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for SPEED QUEEN is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (page loaded but looks like client-rendered chrome with no product content (MPN not found)); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
TC5003BN,REVIEW,0.24,"Classpath for Washers is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for SPEED QUEEN is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (page loaded but looks like client-rendered chrome with no product content (MPN not found)); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
TR7006WN,REVIEW,0.24,"Classpath for Washers is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for SPEED QUEEN is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (page loaded but looks like client-rendered chrome with no product content (MPN not found)); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
TR7006BN,REVIEW,0.24,"Classpath for Washers is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for SPEED QUEEN is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (page loaded but looks like client-rendered chrome with no product content (MPN not found)); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
TR5006WN,REVIEW,0.24,"Classpath for Washers is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for SPEED QUEEN is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (page loaded but looks like client-rendered chrome with no product content (MPN not found)); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
MSER2090S,REVIEW,0.24,"Classpath for Microwave Ovens is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for LG is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (HTTP 403); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
GCST16S1WSS,REVIEW,0.24,"Classpath for Microwave Ovens is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for GE is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (HTTP 403); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
PCWK15C1WSS,REVIEW,0.24,"Classpath for Microwave Ovens is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for GE is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (HTTP 403); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
SMC2266KS,REVIEW,0.0,"Classpath for Microwave Ovens is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand could not be resolved from Part_Desc text or a live search on the model number; MANUFACTURER_NAME/BRAND_NAME left blank rather than guessed"
SMD2479JS,REVIEW,0.0,"Classpath for Microwave Ovens is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand could not be resolved from Part_Desc text or a live search on the model number; MANUFACTURER_NAME/BRAND_NAME left blank rather than guessed"
PEP9030DTBB,REVIEW,0.24,"Classpath for Cooktops is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for GE is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (HTTP 403); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
CES700P3MD1,REVIEW,0.24,"Classpath for Ranges is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for CAFE is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (HTTP 403); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
PS960YPFS,REVIEW,0.24,"Classpath for Ranges is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for GE is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (HTTP 403); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
PB900YVFS,REVIEW,0.0,"Classpath for Ranges is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand could not be resolved from Part_Desc text or a live search on the model number; MANUFACTURER_NAME/BRAND_NAME left blank rather than guessed"
PCFE3080AF,REVIEW,0.0,"Classpath for Ranges is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand could not be resolved from Part_Desc text or a live search on the model number; MANUFACTURER_NAME/BRAND_NAME left blank rather than guessed"
SLER30524SS,REVIEW,0.0,"Classpath for Ranges is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand could not be resolved from Part_Desc text or a live search on the model number; MANUFACTURER_NAME/BRAND_NAME left blank rather than guessed"
LSEL6333ZE,REVIEW,0.24,"Classpath for Ranges is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for LG is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (HTTP 403); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
KSES530SBE,REVIEW,0.0,"Classpath for Ranges is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand could not be resolved from Part_Desc text or a live search on the model number; MANUFACTURER_NAME/BRAND_NAME left blank rather than guessed"
GCFG3661AF,REVIEW,0.4,"Classpath for Ranges is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | manufacturer source unreachable (timed out (likely bot-management block)); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
WSGS7530RZ,REVIEW,0.0,"Classpath for Ranges is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand could not be resolved from Part_Desc text or a live search on the model number; MANUFACTURER_NAME/BRAND_NAME left blank rather than guessed"
CHP90301TBB,REVIEW,0.24,"Classpath for Cooktops is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for CAFE is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (HTTP 403); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
CVM517P3RD1,REVIEW,0.24,"Classpath for Microwave Ovens is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for CAFE is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (HTTP 403); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
PMOS1980AF,REVIEW,0.0,"Classpath for Microwave Ovens is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand could not be resolved from Part_Desc text or a live search on the model number; MANUFACTURER_NAME/BRAND_NAME left blank rather than guessed"
KMMF530PBE,REVIEW,0.0,"Classpath for Microwave Ovens is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand could not be resolved from Part_Desc text or a live search on the model number; MANUFACTURER_NAME/BRAND_NAME left blank rather than guessed"
JXGRILL1,REVIEW,0.24,"Classpath for Ranges is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for GE is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (HTTP 403); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
GDE21EMKES,REVIEW,0.24,"Classpath for Refrigerators is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for GE is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (HTTP 403); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
FCM16SLWW,REVIEW,0.24,"Classpath for Freezers is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for GE is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (HTTP 403); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
GNE27JYMFS,REVIEW,0.24,"Classpath for Refrigerators is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for GE is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (HTTP 403); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
CVE28DP3ND1,REVIEW,0.24,"Classpath for Refrigerators is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for CAFE is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (HTTP 403); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
GNE25JMKES,REVIEW,0.24,"Classpath for Refrigerators is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for GE is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (HTTP 403); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
PRFS2883AF,REVIEW,0.0,"Classpath for Refrigerators is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand could not be resolved from Part_Desc text or a live search on the model number; MANUFACTURER_NAME/BRAND_NAME left blank rather than guessed"
PAD28BYTFS,REVIEW,0.24,"Classpath for Refrigerators is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for GE is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (HTTP 403); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
PGE29BYTFS,REVIEW,0.24,"Classpath for Refrigerators is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for GE is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (HTTP 403); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
ERFD19CGCS,REVIEW,0.0,"Classpath for Refrigerators is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand could not be resolved from Part_Desc text or a live search on the model number; MANUFACTURER_NAME/BRAND_NAME left blank rather than guessed"
LT18S2100W,REVIEW,0.24,"Classpath for Refrigerators is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for LG is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (HTTP 403); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
LT18S2100SS,REVIEW,0.24,"Classpath for Refrigerators is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand style/manufacturer for LG is a public-record default, not checked against the real 27,000-row manufacturer/brand master list | manufacturer source unreachable (HTTP 403); attributes and marketing copy could not be sourced live | no attributes were sourced (source unreachable), so SHORT_DESC falls back to Brand + MPN + Product Name only rather than a full formula"
EUF17CDBW,REVIEW,0.0,"Classpath for Freezers is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand could not be resolved from Part_Desc text or a live search on the model number; MANUFACTURER_NAME/BRAND_NAME left blank rather than guessed"
EUF21CDBW,REVIEW,0.0,"Classpath for Freezers is a best-effort extension of the verified Dishwasher pattern, not checked against the real LOV taxonomy -- unverified | brand could not be resolved from Part_Desc text or a live search on the model number; MANUFACTURER_NAME/BRAND_NAME left blank rather than guessed"
